gene_a,gene_b,uniprot_a,uniprot_b,cluster,score,bench_fdr,high_conf,high_conf_novel,conf_pvalue,certified@0.05,certified@0.1,certified@0.2,audit_verdict_q0.10,source
GSK3B,GSKIP,P49841,Q9P0R6,C5398,0.696,0.0384615384615384,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
COMMD1,COMMD9,Q8N668,Q9P000,C5298,0.692,0.0363636363636363,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
RNF25,UBE2E2,Q96BH1,Q96LR5,C5380,0.692,0.0363636363636363,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
PRKAA2,PRKAB2,P54646,O43741,C5414,0.692,0.0363636363636363,True,False,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
CENPN,CENPO,Q96H22,Q9BU64,C5291,0.69,0.0357142857142857,True,False,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
BCAS3,WIPI2,Q9H6U6,Q9Y4P8,C5395,0.685999999999999,0.0350877192982456,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
DPYSL4,DPYSL3,O14531,Q14195,C5393,0.684,0.0344827586206896,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
CEBPZ,CTSC,Q03701,P53634,C5367,0.675999999999999,0.0508474576271186,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
LSM1,LSM4,O15116,Q9Y4Z0,C5284,0.666,0.0666666666666666,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
DPYSL2,DPYSL3,Q16555,Q14195,C5393,0.664,0.0655737704918032,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
CENPH,CENPI,Q9H3R5,Q92674,C5291,0.662,0.064516129032258,True,False,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
ARL14EP,LRRC15,Q8N8R7,Q8TF66,C5332,0.658,0.0634920634920634,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
CLNS1A,LSM7,P54105,Q9UK45,C5284,0.656,0.078125,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
EIF3CL,EIF3H,B5ME19,O15372,C5314,0.65,0.0769230769230769,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
RAD23A,UBE3A,P54725,Q05086,C5293,0.648,0.0757575757575757,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
SEPTIN4,SEPTIN3,O43236,Q9UH03-1,C5309,0.646,0.0746268656716417,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
CLNS1A,PRMT5,P54105,O14744,C5284,0.638,0.072463768115942,True,False,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
MIS18A,OIP5,Q9NYP9,O43482,C5370,0.638,0.072463768115942,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
KPNA5,UBA3,O15131,Q8TBC4,C5337,0.636,0.0714285714285714,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
TSEN2,TSEN54,Q8NCE0,Q7Z6J9,C5317,0.634,0.0704225352112676,True,False,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
TAF4,TAF5,O00268,Q15542,C5350,0.632,0.0694444444444444,True,False,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
KPNA6,UBA3,O60684,Q8TBC4,C5337,0.628,0.0684931506849315,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
CHUK,IKBKB,O15111,O14920,C5361,0.626,0.0675675675675675,True,False,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
EIF3CL,EIF3M,B5ME19,Q7L2H7,C5314,0.622,0.0666666666666666,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
GPN1,RPAP1,Q9HCN4,Q9BWH6,C5296,0.62,0.0649350649350649,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
PLEKHO1,SIRT5,Q53GL0,Q9NXA8,C5318,0.62,0.0649350649350649,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
RAD23B,UBE3A,P54727,Q05086,C5293,0.612,0.0641025641025641,True,True,0.0022099447513812156,True,True,True,certified,cm4ai_schaffer2025_table5
CDK9,PAF1,P50750,Q8N7H5,C5315,0.61,0.075,True,True,0.0033149171270718232,False,True,True,certified,cm4ai_schaffer2025_table5
SEPTIN4,SEPTIN6,O43236,Q14141,C5309,0.61,0.075,True,True,0.0033149171270718232,False,True,True,certified,cm4ai_schaffer2025_table5
DPYSL2,DPYSL4,Q16555,O14531,C5393,0.608,0.074074074074074,True,True,0.0033149171270718232,False,True,True,certified,cm4ai_schaffer2025_table5
LSM1,WDR77,O15116,Q9BQA1,C5284,0.604,0.073170731707317,True,True,0.0033149171270718232,False,True,True,certified,cm4ai_schaffer2025_table5
STRIP1,STRN4,Q5VSL9,Q9NRL3,C5349,0.604,0.0843373493975903,True,True,0.0033149171270718232,False,True,True,certified,cm4ai_schaffer2025_table5
STX7,VTI1B,O15400,Q9UEU0,C5292,0.602,0.0823529411764705,True,True,0.0033149171270718232,False,True,True,certified,cm4ai_schaffer2025_table5
TAF3,TAF5,Q5VWG9,Q15542,C5350,0.602,0.0823529411764705,True,False,0.0033149171270718232,False,True,True,certified,cm4ai_schaffer2025_table5
SEPTIN6,SEPTIN8,Q14141,Q92599,C5309,0.6,0.0813953488372093,True,True,0.0033149171270718232,False,True,True,certified,cm4ai_schaffer2025_table5
GTF2E1,GTF2E2,P29083,P29084,C5370,0.598,0.0919540229885057,True,False,0.004419889502762431,False,True,True,certified,cm4ai_schaffer2025_table5
ANXA2,BCL2L12,P07355,Q9HB09,C5325,0.59,0.0909090909090909,True,True,0.004419889502762431,False,True,True,certified,cm4ai_schaffer2025_table5
TAF5,TAF8,Q15542,Q7Z7C8,C5350,0.588,0.0898876404494382,True,False,0.004419889502762431,False,True,True,certified,cm4ai_schaffer2025_table5
STRIP1,STRN,Q5VSL9,O43815,C5349,0.586,0.0888888888888888,True,True,0.004419889502762431,False,True,True,certified,cm4ai_schaffer2025_table5
BRD7,KPNA6,Q9NPI1,O60684,C5337,0.582,0.086021505376344,True,True,0.004419889502762431,False,True,True,certified,cm4ai_schaffer2025_table5
CLNS1A,LSM4,P54105,Q9Y4Z0,C5284,0.582,0.086021505376344,True,True,0.004419889502762431,False,True,True,certified,cm4ai_schaffer2025_table5
MRPL15,MRPL48,Q9P015,Q96GC5,C5319,0.582,0.086021505376344,True,False,0.004419889502762431,False,True,True,certified,cm4ai_schaffer2025_table5
STRIP1,STRN3,Q5VSL9,Q13033,C5349,0.578,0.0851063829787234,True,False,0.004419889502762431,False,True,True,certified,cm4ai_schaffer2025_table5
STAT1,STAT2,P42224,P52630,C5415,0.576,0.0842105263157894,True,True,0.004419889502762431,False,True,True,certified,cm4ai_schaffer2025_table5
AP1B1,AP2A2,Q10567,O94973,C5308,0.572,0.0833333333333333,True,True,0.004419889502762431,False,True,True,certified,cm4ai_schaffer2025_table5
KANSL1,MCRS1,Q7Z3B3,Q96EZ8,C5345,0.57,0.0927835051546391,True,True,0.0055248618784530384,False,True,True,certified,cm4ai_schaffer2025_table5
IRF9,STAT1,Q00978,P42224,C5415,0.566,0.0909090909090909,True,True,0.0055248618784530384,False,True,True,certified,cm4ai_schaffer2025_table5
MAEA,WDR26,Q7L5Y9,Q9H7D7,C5304,0.566,0.09,True,True,0.0055248618784530384,False,True,True,certified,cm4ai_schaffer2025_table5
GPN1,URI1,Q9HCN4,O94763,C5296,0.566,0.0909090909090909,True,True,0.0055248618784530384,False,True,True,certified,cm4ai_schaffer2025_table5
SEPTIN4,SEPTIN8,O43236,Q92599,C5309,0.562,0.099009900990099,True,True,0.0055248618784530384,False,True,True,certified,cm4ai_schaffer2025_table5
AP1B1,AP2A1,Q10567,O95782,C5308,0.558,0.0970873786407767,True,True,0.0055248618784530384,False,True,True,certified,cm4ai_schaffer2025_table5
GPN1,POLR2B,Q9HCN4,P30876,C5296,0.558,0.0970873786407767,False,False,0.0055248618784530384,False,True,True,certified,cm4ai_schaffer2025_table5
IFT70A,IFT81,Q86WT1,Q8WYA0,C5300,0.557999999999999,0.0952380952380952,True,False,0.0055248618784530384,False,True,True,certified,cm4ai_schaffer2025_table5
HCFC2,KANSL3,Q9Y5Z7,Q9P2N6,C5345,0.557999999999999,0.0952380952380952,True,True,0.0055248618784530384,False,True,True,certified,cm4ai_schaffer2025_table5
HSPBP1,STIP1,Q9NZL4,P31948,C5281,0.554,0.0943396226415094,True,True,0.0055248618784530384,False,True,True,certified,cm4ai_schaffer2025_table5
PPARGC1B,SPIN4,Q86YN6,Q56A73,C5330,0.55,0.0934579439252336,True,True,0.0055248618784530384,False,True,True,certified,cm4ai_schaffer2025_table5
TCEANC2,ZNF638,Q96MN5,Q14966,C5315,0.548,0.0925925925925925,True,True,0.0055248618784530384,False,True,True,certified,cm4ai_schaffer2025_table5
SNTB2,UTRN,Q13425,P46939,C5307,0.546,0.091743119266055,False,False,0.0055248618784530384,False,True,True,certified,cm4ai_schaffer2025_table5
RPAP3,RUVBL2,Q9H6T3,Q9Y230,C5346,0.545999999999999,0.0909090909090909,True,False,0.0055248618784530384,False,True,True,certified,cm4ai_schaffer2025_table5
IRF9,STAT2,Q00978,P52630,C5415,0.544,0.0892857142857142,True,True,0.0055248618784530384,False,True,True,certified,cm4ai_schaffer2025_table5
EIF3CL,EIF3D,B5ME19,O15371,C5314,0.544,0.0892857142857142,True,True,0.0055248618784530384,False,True,True,certified,cm4ai_schaffer2025_table5
CSTF3,FIP1L1,Q12996,Q6UN15,C5390,0.54,0.0973451327433628,True,True,0.0066298342541436465,False,True,True,certified,cm4ai_schaffer2025_table5
KPNA5,TAF7L,O15131,Q5H9L4,C5337,0.534,0.0964912280701754,True,True,0.0066298342541436465,False,True,True,certified,cm4ai_schaffer2025_table5
SRP54,SRP68,P61011,Q9UHB9,C5301,0.528,0.112068965517241,True,False,0.0066298342541436465,False,True,True,certified,cm4ai_schaffer2025_table5
PITPNM1,PITPNM3,O00562,Q9BZ71,C5282,0.528,0.112068965517241,True,True,0.0066298342541436465,False,True,True,certified,cm4ai_schaffer2025_table5
HGH1,PUM1,Q9BTY7,Q14671,C5402,0.525999999999999,0.119658119658119,True,True,0.0066298342541436465,False,True,True,certified,cm4ai_schaffer2025_table5
HCFC2,PHF20,Q9Y5Z7,Q9BVI0,C5345,0.522,0.11864406779661,True,True,0.0066298342541436465,False,True,True,certified,cm4ai_schaffer2025_table5
CENPI,CENPO,Q92674,Q9BU64,C5291,0.52,0.116666666666666,True,False,0.0066298342541436465,False,True,True,certified,cm4ai_schaffer2025_table5
THOC1,THOC5,Q96FV9,Q13769,C5397,0.52,0.116666666666666,True,False,0.0066298342541436465,False,True,True,certified,cm4ai_schaffer2025_table5
HSPA4,HSPH1,P34932,Q92598,C5281,0.518,0.12396694214876,True,True,0.0066298342541436465,False,True,True,certified,cm4ai_schaffer2025_table5
ARL13B,IFT70A,Q3SXY8,Q86WT1,C5300,0.516,0.121951219512195,False,False,0.0066298342541436465,False,True,True,certified,cm4ai_schaffer2025_table5
DIXDC1,METTL13,Q155Q3,Q8N6R0,C5307,0.516,0.121951219512195,False,False,0.0066298342541436465,False,True,True,certified,cm4ai_schaffer2025_table5
BLOC1S3,SNAPIN,Q6QNY0,O95295,C5306,0.51,0.120967741935483,True,True,0.0066298342541436465,False,True,True,certified,cm4ai_schaffer2025_table5
HSPA4,UBAP2,P34932,Q5T6F2,C5281,0.508,0.118110236220472,False,False,0.0066298342541436465,False,True,True,certified,cm4ai_schaffer2025_table5
TAF6,TAF8,P49848,Q7Z7C8,C5350,0.508,0.118110236220472,True,False,0.0066298342541436465,False,True,True,certified,cm4ai_schaffer2025_table5
KANSL1,KANSL3,Q7Z3B3,Q9P2N6,C5345,0.508,0.118110236220472,True,True,0.0066298342541436465,False,True,True,certified,cm4ai_schaffer2025_table5
CENPO,ITGB3BP,Q9BU64,Q13352,C5291,0.506,0.1171875,True,False,0.0066298342541436465,False,True,True,certified,cm4ai_schaffer2025_table5
STX12,VTI1B,Q86Y82,Q9UEU0,C5292,0.504,0.116279069767441,True,True,0.0066298342541436465,False,True,True,certified,cm4ai_schaffer2025_table5
AP2A1,AP2A2,O95782,O94973,C5308,0.5,0.13076923076923,True,False,0.0077348066298342545,False,True,True,certified,cm4ai_schaffer2025_table5
MYH14,TNNC2,Q7Z406,P02585,C5418,0.498,0.129770992366412,False,False,0.0077348066298342545,False,True,True,certified,cm4ai_schaffer2025_table5
TMUB1,TRPM4,Q9BVT8,Q8TD43,C5283,0.494,0.128787878787878,True,True,0.0077348066298342545,False,True,True,certified,cm4ai_schaffer2025_table5
CHMP1B,VTA1,Q7LBR1,Q9NP79,C5391,0.492,0.135338345864661,True,False,0.008839779005524863,False,False,True,not_supported,cm4ai_schaffer2025_table5
PSME3IP1,PSME4,Q9GZU8,Q14997,C5351,0.488,0.141791044776119,False,False,0.011049723756906077,False,False,True,not_supported,cm4ai_schaffer2025_table5
PAF1,POLE2,Q8N7H5,P56282,C5315,0.486,0.148148148148148,False,False,0.011049723756906077,False,False,True,not_supported,cm4ai_schaffer2025_table5
LSM4,WDR77,Q9Y4Z0,Q9BQA1,C5284,0.48,0.158273381294964,True,True,0.012154696132596685,False,False,True,not_supported,cm4ai_schaffer2025_table5
POLR2E,RECQL5,P19388,O94762,C5287,0.48,0.159420289855072,False,False,0.012154696132596685,False,False,True,not_supported,cm4ai_schaffer2025_table5
AUTS2,PCGF5,Q8WXX7,Q86SE9,C5297,0.48,0.159420289855072,True,True,0.012154696132596685,False,False,True,not_supported,cm4ai_schaffer2025_table5
PAF1,TCEANC2,Q8N7H5,Q96MN5,C5315,0.48,0.159420289855072,True,True,0.012154696132596685,False,False,True,not_supported,cm4ai_schaffer2025_table5
FBRSL1,PCGF5,Q9HCM7,Q86SE9,C5297,0.474,0.164285714285714,True,True,0.013259668508287293,False,False,True,not_supported,cm4ai_schaffer2025_table5
FLII,HOMER2,Q13045,Q9NSB8,C5374,0.472,0.161971830985915,True,True,0.013259668508287293,False,False,True,not_supported,cm4ai_schaffer2025_table5
CCDC9,DROSHA,Q9Y3X0,Q9NRR4,C5303,0.472,0.161971830985915,False,False,0.013259668508287293,False,False,True,not_supported,cm4ai_schaffer2025_table5
STX16,VAMP4,O14662,O75379,C5292,0.472,0.16083916083916,True,False,0.013259668508287293,False,False,True,not_supported,cm4ai_schaffer2025_table5
COQ9,UBXN2A,O75208,P68543,C5338,0.468,0.173611111111111,False,False,0.015469613259668509,False,False,True,not_supported,cm4ai_schaffer2025_table5
MLF1,SMTN,P58340,P53814,C5295,0.466,0.178082191780821,True,True,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
GMEB2,TMEM94,Q9UKD1,Q12767,C5289,0.466,0.178082191780821,False,False,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
BRD7,KPNA5,Q9NPI1,O15131,C5337,0.464,0.176870748299319,True,True,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
DIS3,EXOSC5,Q9Y2L1,Q9NQT4,C5410,0.462,0.182432432432432,True,False,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
AKAP5,PRKX,P24588,P51817,C5413,0.46,0.181208053691275,False,False,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
FBXW11,MYO10,Q9UKB1,Q9HD67,C5321,0.456,0.178807947019867,True,True,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
RANGRF,TSEN2,Q9HD47,Q8NCE0,C5317,0.456,0.178807947019867,False,False,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
EPRS1,TARS3,P07814,A2RTX5,C5290,0.454,0.184210526315789,True,True,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
DNAJB6,MLF1,O75190,P58340,C5295,0.452,0.183006535947712,True,True,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
METAP1,TXLNA,P53582,P40222,C5381,0.45,0.181818181818181,False,False,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
ID2,TCF3,Q02363,P15923,C5364,0.448,0.178343949044585,True,True,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
KMT2E,MPP7,Q8IZD2,Q5T2T1,C5305,0.448,0.178343949044585,False,False,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
TOMM22,WSB1,Q9NS69,Q9Y6I7,C5416,0.448,0.180645161290322,True,True,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
KPNA6,TAF7L,O60684,Q5H9L4,C5337,0.446,0.176100628930817,True,True,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
KANSL3,MCRS1,Q9P2N6,Q96EZ8,C5345,0.446,0.176100628930817,True,True,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
KDM3A,RNF220,Q9Y4C1,Q5VTB9,C5326,0.444,0.175,True,True,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
CPSF4,CSTF3,O95639,Q12996,C5390,0.444,0.17391304347826,False,False,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
DDX23,TXNL4A,Q9BUQ8,P83876,C5285,0.442,0.172839506172839,True,False,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
ECSIT,TYSND1,Q9BQ95,Q2T9J0,C5283,0.442,0.171779141104294,False,False,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
DIXDC1,HAUS1,Q155Q3,Q96CS2,C5307,0.44,0.169696969696969,True,True,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
NUP188,PHF21A,Q5SRE5,Q96BD5,C5298,0.44,0.170731707317073,False,False,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
PSME4,PSMG2,Q14997,Q969U7,C5351,0.438,0.16867469879518,False,False,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
ID2,TCF4,Q02363,P15884,C5364,0.438,0.167664670658682,False,False,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
PSME4,RNF34,Q14997,Q969K3,C5351,0.436,0.176470588235294,False,False,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
KCTD10,PRMT5,Q9H3F6,O14744,C5284,0.436,0.176470588235294,False,False,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
CNNM1,CNNM3,Q9NRU3,Q8NE01,C5388,0.436,0.176470588235294,True,True,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
GPN1,POLR3A,Q9HCN4,O14802,C5296,0.435999999999999,0.175438596491228,False,False,0.016574585635359115,False,False,True,not_supported,cm4ai_schaffer2025_table5
ZNF446,SCAND1,Q9NWS9,P57086,C5322,0.434,0.180232558139534,True,True,0.017679558011049725,False,False,True,not_supported,cm4ai_schaffer2025_table5
IFT70A,PRAME,Q86WT1,P78395,C5300,0.43,0.206896551724137,False,False,0.020994475138121547,False,False,True,not_supported,cm4ai_schaffer2025_table5
SF3B3,TXNL4A,Q15393,P83876,C5285,0.43,0.206896551724137,False,False,0.020994475138121547,False,False,True,not_supported,cm4ai_schaffer2025_table5
FAM185A,ZNF263,Q8N0U4,O14978,C5360,0.428,0.205714285714285,False,False,0.020994475138121547,False,False,True,not_supported,cm4ai_schaffer2025_table5
